-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2025 in LST
Location: latitude  8.5308   longitude 76.9296 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 86.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PRECTOTCORR,RH2M,PS,WS10M,T2M_MAX,T2M_MIN
2014,3,17,6.9149,0.0,60.22,100.18,3.41,34.98,23.2
2014,3,18,5.8298,0.0,59.8,100.12,3.32,35.15,25.55
2014,3,19,6.151,0.34,62.21,100.09,2.97,32.52,26.13
2014,3,20,6.2222,1.27,67.48,100.01,2.67,34.41,25.94
2014,3,21,6.7711,1.67,69.56,99.93,2.18,33.94,26.34
2014,3,22,6.3286,0.48,70.32,99.8,2.59,33.51,27.05
2014,3,23,6.9062,0.16,66.12,99.87,2.19,34.5,26.5
2014,3,24,7.0961,0.0,63.02,99.98,1.77,35.23,26.12
2014,3,25,7.3418,0.01,56.53,99.87,2.8,36.15,25.81
2014,3,26,7.1443,0.0,56.65,99.85,2.93,35.55,23.37
2014,3,27,7.0992,0.0,55.74,99.99,2.5,35.64,24.21
2014,3,28,6.3096,0.0,54.6,99.99,2.08,36.0,25.64
2014,3,29,7.2698,0.0,55.42,99.88,2.3,36.04,23.69
2014,3,30,7.2,0.0,58.51,99.91,2.34,35.94,25.2
2014,3,31,6.6334,0.0,70.39,99.95,4.44,33.49,26.84
2014,4,1,5.7161,0.0,71.82,99.85,4.91,33.72,27.06
2014,4,2,5.1862,0.01,71.45,99.79,5.24,33.36,27.56
2014,4,3,6.7846,0.01,66.27,99.81,2.56,35.19,26.79
2014,4,4,6.5304,0.01,66.26,99.94,1.87,35.0,27.37
2014,4,5,6.5489,0.37,68.28,100.0,1.95,33.77,27.22
2014,4,6,5.0825,1.18,73.85,100.13,2.77,30.17,26.73
2014,4,7,6.061,2.17,73.97,100.18,3.17,31.08,26.52
2014,4,8,6.2124,0.75,75.43,100.2,2.45,30.34,26.89
2014,4,9,6.2654,0.22,76.37,100.12,3.84,30.73,26.97
2014,4,10,6.2023,2.33,76.19,100.1,3.89,31.38,27.19
2014,4,11,6.2592,1.21,78.84,100.1,4.1,30.34,26.64
2014,4,12,6.6197,1.92,72.12,99.94,4.64,33.02,26.74
2014,4,13,6.288,4.42,74.79,99.98,3.51,31.24,26.73
2014,4,14,6.0074,17.14,80.28,100.07,2.63,30.47,26.67
2014,4,15,6.4606,1.59,74.68,100.08,1.93,31.47,26.65
2014,4,16,6.4997,2.55,74.02,100.03,2.99,31.93,26.67
2014,4,17,6.4159,4.18,76.7,99.93,4.06,31.54,26.87
2014,4,18,6.7428,2.07,75.49,100.0,4.85,31.74,26.89
2014,4,19,6.7229,0.45,76.45,99.96,4.59,31.55,27.2
2014,4,20,6.9264,0.37,76.89,99.83,2.54,32.38,27.33
2014,4,21,6.8863,0.46,75.06,99.85,1.88,32.44,27.2
2014,4,22,6.4337,1.14,72.54,100.0,1.34,32.52,27.58
2014,4,23,4.6769,4.68,76.1,99.99,1.9,31.96,27.35
2014,4,24,6.2119,6.82,81.39,99.91,3.26,29.98,27.31
2014,4,25,5.7382,2.39,81.74,99.92,4.61,30.62,26.82
2014,4,26,6.4867,0.88,78.43,99.86,3.74,31.42,27.41
2014,4,27,5.8615,18.0,84.46,99.9,3.36,29.93,27.09
2014,4,28,5.0388,7.01,81.67,99.95,3.47,30.02,26.82
2014,4,29,2.3366,13.09,80.07,99.95,2.07,30.1,26.9
2014,4,30,2.0947,22.42,84.14,99.95,2.1,29.56,27.0
2014,5,1,6.3593,3.79,76.06,99.91,1.89,30.96,26.97
2014,5,2,6.1898,3.5,76.84,99.8,2.36,31.61,27.23
2014,5,3,5.4809,1.5,76.39,99.76,1.9,32.0,27.61
2014,5,4,6.0552,6.02,83.97,99.66,2.94,30.19,27.43
2014,5,5,4.1503,20.12,84.92,99.72,2.12,29.16,27.08
2014,5,6,1.5706,93.19,89.3,99.68,4.87,27.99,25.9
2014,5,7,2.7823,29.67,88.18,99.59,9.81,27.52,26.64
2014,5,8,2.5603,29.02,85.61,99.84,5.74,29.68,26.67
2014,5,9,5.7878,12.38,85.93,99.81,4.65,29.15,27.14
2014,5,10,4.5614,3.43,86.88,99.84,3.77,28.82,26.82
2014,5,11,6.3787,0.49,83.34,99.94,3.75,30.33,27.16
2014,5,12,5.9047,3.11,85.1,99.96,3.99,30.0,26.91
2014,5,13,6.1536,1.31,83.7,99.99,3.59,29.86,27.08
2014,5,14,6.3365,0.13,80.94,99.97,4.8,29.95,27.29
2014,5,15,6.3134,0.15,78.58,99.86,5.92,30.29,27.1
2014,5,16,6.7534,0.08,79.96,99.86,5.7,30.12,26.37
2014,5,17,6.5357,0.14,79.34,99.9,5.44,30.23,26.2
2014,5,18,6.2042,0.11,78.72,99.88,4.65,30.82,26.37
2014,5,19,6.427,0.87,81.86,99.89,3.54,30.29,26.88
2014,5,20,6.1867,0.61,82.64,99.91,3.99,30.15,27.08
2014,5,21,6.3211,0.45,81.49,99.88,4.24,29.98,26.45
2014,5,22,4.7218,0.3,81.67,99.82,4.58,30.08,26.99
2014,5,23,6.0979,0.27,83.2,99.78,5.0,30.27,27.44
2014,5,24,4.4926,5.57,84.85,99.76,5.15,29.8,27.69
2014,5,25,4.1287,5.35,86.94,99.9,4.7,27.84,26.35
2014,5,26,4.7033,0.23,85.92,99.87,4.21,28.49,26.22
2014,5,27,5.6618,0.11,84.67,99.82,3.33,30.12,26.81
2014,5,28,6.0737,0.52,86.28,99.9,3.42,29.85,26.9
2014,5,29,6.0065,0.25,84.49,99.99,4.09,29.52,26.9
2014,5,30,5.233,0.09,84.49,99.86,5.07,29.64,26.91
2014,5,31,6.3686,0.23,83.51,99.7,5.61,30.23,27.34
2014,6,1,5.6736,0.37,84.14,99.66,6.1,29.41,27.42
2014,6,2,5.0618,3.24,84.92,99.76,5.63,29.14,27.01
2014,6,3,3.9214,7.69,82.39,99.71,4.19,28.87,26.55
2014,6,4,4.277,4.77,86.15,99.67,5.43,28.94,25.96
2014,6,5,5.5764,4.11,84.76,99.62,6.36,28.81,26.11
2014,6,6,2.9237,3.63,82.18,99.63,7.52,29.23,26.78
2014,6,7,5.0066,7.54,83.58,99.65,8.19,29.03,26.55
2014,6,8,1.5922,17.22,84.63,99.59,6.77,28.95,26.05
2014,6,9,4.3186,12.06,88.37,99.65,6.8,27.81,26.05
2014,6,10,4.9915,11.01,87.23,99.75,5.43,27.88,25.66
2014,6,11,2.8253,9.05,88.13,99.77,5.32,28.34,25.96
2014,6,12,2.4518,5.76,89.67,99.75,5.42,28.37,25.96
2014,6,13,3.4889,2.47,85.8,99.75,6.24,29.2,25.97
2014,6,14,5.7406,1.65,86.5,99.81,6.36,28.92,26.49
2014,6,15,6.3972,0.42,86.6,99.88,5.95,28.99,26.3
2014,6,16,6.3701,0.24,82.43,99.91,5.9,29.57,26.3
2014,6,17,5.7173,2.02,84.33,99.85,6.62,29.27,25.99
2014,6,18,5.9033,1.51,83.79,99.78,6.98,29.4,26.4
2014,6,19,4.9982,16.33,90.62,99.79,6.18,28.22,26.34
2014,6,20,5.1317,9.14,90.53,99.92,6.49,27.99,26.33
2014,6,21,5.3786,2.35,89.42,100.04,7.29,28.53,26.24
2014,6,22,6.1565,1.19,87.48,100.14,6.16,28.75,25.99
2014,6,23,6.1416,0.23,87.32,100.04,5.8,29.01,25.54
2014,6,24,5.9988,0.22,85.89,99.82,6.78,28.91,25.73
2014,6,25,5.6825,0.07,83.4,99.8,7.01,28.71,26.08
2014,6,26,5.6047,0.03,86.83,99.89,5.61,28.45,25.71
2014,6,27,6.3775,0.04,88.47,99.96,4.53,28.75,25.53
2014,6,28,6.3523,0.05,87.38,99.97,4.12,29.3,25.21
2014,6,29,6.3362,0.42,86.25,99.92,4.71,29.21,25.43
2014,6,30,4.3726,5.31,84.8,99.93,5.64,28.5,25.45
2014,7,1,4.6392,5.04,88.36,100.03,6.8,27.72,25.46
2014,7,2,5.7046,1.04,85.37,99.98,5.73,28.81,25.3
2014,7,3,6.3096,0.41,86.89,99.81,6.01,28.76,25.6
2014,7,4,6.1344,1.35,87.64,99.71,6.1,28.77,25.44
2014,7,5,4.2761,2.76,89.33,99.76,6.8,28.15,25.72
2014,7,6,4.309,1.07,86.81,99.88,5.79,28.61,25.4
2014,7,7,4.9627,0.43,83.95,99.93,6.59,28.84,24.59
2014,7,8,4.1105,2.64,87.23,99.88,6.05,27.74,24.97
2014,7,9,5.6981,7.55,88.53,99.92,5.48,28.02,24.67
2014,7,10,3.8642,7.58,89.77,100.05,5.11,27.18,24.76
2014,7,11,5.6527,2.99,87.46,100.08,6.04,27.77,24.96
2014,7,12,5.2166,1.79,86.28,99.96,6.71,28.06,25.42
2014,7,13,5.0131,2.88,85.48,99.88,6.53,28.67,25.52
2014,7,14,3.606,8.76,89.22,99.86,6.02,27.51,25.42
2014,7,15,5.0378,16.49,90.13,99.84,5.54,27.47,25.16
2014,7,16,6.1759,5.98,90.97,99.9,4.61,27.54,24.95
2014,7,17,6.6758,0.65,88.18,99.89,4.54,27.87,24.6
2014,7,18,5.6662,2.29,89.25,99.89,4.62,28.47,24.35
2014,7,19,5.6556,4.47,89.11,99.99,4.83,28.29,25.08
2014,7,20,5.7725,0.93,89.34,100.0,5.31,27.98,25.17
2014,7,21,5.4674,1.72,89.57,99.97,5.56,28.14,25.14
2014,7,22,5.5483,6.66,89.38,99.97,5.91,28.01,25.11
2014,7,23,5.9671,8.04,87.75,100.03,6.52,27.4,24.51
2014,7,24,6.4102,2.89,88.44,100.0,5.81,28.06,24.16
2014,7,25,5.9844,2.16,90.41,100.06,5.87,27.65,25.04
2014,7,26,4.9934,1.82,88.18,100.11,6.15,28.84,24.22
2014,7,27,4.571,2.38,89.65,100.17,6.61,27.84,25.53
2014,7,28,4.3231,2.14,87.88,100.07,6.69,28.13,25.26
2014,7,29,5.6177,6.17,89.1,99.96,5.89,27.59,25.23
2014,7,30,6.233,3.84,85.47,99.99,6.2,28.29,24.85
2014,7,31,5.4511,30.12,88.03,99.93,5.79,27.97,24.89
2014,8,1,2.4427,52.18,90.82,99.93,6.0,27.32,25.58
2014,8,2,4.0495,10.5,90.72,99.97,5.33,27.44,25.18
2014,8,3,3.3358,5.19,85.89,99.98,6.87,27.67,25.06
2014,8,4,4.7664,3.07,89.45,99.89,5.78,27.79,25.1
2014,8,5,5.3371,7.37,88.89,99.92,6.28,27.52,25.06
2014,8,6,5.7737,1.32,84.69,100.01,5.32,27.74,24.47
2014,8,7,5.0146,1.04,89.14,99.96,5.63,26.7,23.9
2014,8,8,2.419,11.25,88.73,100.01,5.71,27.11,23.63
2014,8,9,5.0626,3.07,87.94,100.05,4.53,27.14,23.77
2014,8,10,5.449,5.92,89.63,100.11,5.69,27.11,24.37
2014,8,11,3.2616,13.33,88.81,100.12,5.26,26.22,24.08
2014,8,12,5.8481,5.4,89.63,100.06,4.79,26.21,23.8
2014,8,13,4.9097,0.85,90.19,100.11,4.93,25.91,23.61
2014,8,14,6.2006,0.3,86.65,100.12,5.42,27.16,24.06
2014,8,15,5.7869,6.87,87.37,100.12,5.2,26.82,24.78
2014,8,16,5.1374,2.57,87.5,100.09,4.72,27.31,24.44
2014,8,17,5.2164,3.54,87.62,100.03,4.98,27.17,24.1
2014,8,18,5.4778,2.32,86.41,100.0,4.69,28.42,24.58
2014,8,19,5.2123,6.18,86.27,100.01,3.74,28.32,24.67
2014,8,20,5.5344,32.61,88.58,99.88,4.56,27.54,24.75
2014,8,21,4.5485,77.22,89.41,99.68,5.71,27.32,24.94
2014,8,22,2.0854,68.15,91.23,99.63,7.62,26.11,24.83
2014,8,23,4.885,26.65,86.85,99.82,6.61,27.05,24.8
2014,8,24,6.7637,2.04,85.23,99.94,4.08,27.72,24.99
2014,8,25,6.5143,0.35,84.84,100.03,3.64,28.21,25.08
2014,8,26,6.6058,0.36,86.1,100.09,4.1,27.76,24.98
2014,8,27,5.5584,2.14,86.55,99.97,5.05,27.58,25.13
2014,8,28,5.5414,12.06,87.24,99.89,5.87,27.25,25.44
2014,8,29,4.812,19.49,86.27,99.83,5.92,27.8,25.72
2014,8,30,4.5826,32.43,86.61,99.87,6.09,28.05,25.61
2014,8,31,6.3845,21.49,89.08,99.79,6.58,27.34,25.35
2014,9,1,6.0024,21.85,87.46,99.79,5.48,27.34,25.53
2014,9,2,5.6148,32.59,90.04,99.91,4.62,27.37,24.5
2014,9,3,2.7598,29.02,89.27,100.1,4.29,26.73,24.4
2014,9,4,4.4628,7.31,87.75,100.09,3.76,27.51,24.41
2014,9,5,5.2558,5.22,87.59,100.09,4.58,27.64,24.94
2014,9,6,5.4475,1.14,89.98,100.07,5.04,26.6,24.64
2014,9,7,5.8253,2.32,87.25,100.11,5.09,27.23,24.84
2014,9,8,6.3444,1.21,87.25,100.16,5.38,26.72,25.05
2014,9,9,6.2414,0.88,87.27,100.14,5.28,27.81,24.9
2014,9,10,6.3533,0.16,89.36,100.03,5.26,27.7,25.06
2014,9,11,6.8633,0.11,88.53,100.05,5.04,28.32,24.76
2014,9,12,6.6566,0.39,86.31,100.12,5.14,28.42,25.16
2014,9,13,5.7151,2.14,87.75,100.07,5.48,28.19,25.35
2014,9,14,5.359,3.29,89.36,100.01,6.13,27.45,25.29
2014,9,15,5.5116,0.91,89.33,99.93,5.76,27.52,25.31
2014,9,16,5.8085,0.32,89.31,99.86,5.62,27.25,25.53
2014,9,17,5.9083,0.28,86.74,99.82,6.35,28.17,25.55
2014,9,18,5.4878,0.09,88.12,99.92,5.59,27.51,25.64
2014,9,19,5.8954,0.06,88.14,99.96,5.73,28.02,25.19
2014,9,20,6.6264,0.01,87.0,99.9,5.94,28.11,25.04
2014,9,21,6.8539,0.01,86.66,99.9,5.55,28.72,24.39
2014,9,22,6.5026,0.08,86.17,99.93,5.11,28.93,25.0
2014,9,23,6.5477,0.38,89.87,99.87,4.64,28.05,25.7
2014,9,24,5.5423,1.21,90.69,99.89,4.53,27.42,25.4
2014,9,25,5.8546,6.77,91.36,99.94,3.45,27.75,25.36
2014,9,26,5.539,13.66,89.42,100.06,3.03,27.43,24.97
2014,9,27,5.9918,3.87,85.72,100.06,2.07,28.43,24.74
2014,9,28,5.731,22.89,86.31,100.03,2.35,28.47,25.24
2014,9,29,5.3446,11.11,86.32,100.01,2.72,28.65,25.36
2014,9,30,4.2257,3.03,83.67,100.02,2.11,29.1,25.31
2014,10,1,6.5736,1.83,84.06,100.03,1.99,28.65,25.3
2014,10,2,5.8985,0.91,86.13,100.09,2.65,28.0,25.17
2014,10,3,4.6759,12.35,83.83,100.07,2.34,28.69,24.87
2014,10,4,5.605,7.11,89.7,100.14,3.35,26.85,25.06
2014,10,5,5.3287,2.71,87.31,100.17,3.62,27.49,25.01
2014,10,6,5.1958,2.51,87.91,100.13,4.23,28.19,25.03
2014,10,7,5.1391,22.91,89.57,100.02,4.11,27.54,25.29
2014,10,8,5.1182,16.33,88.06,100.02,4.26,27.22,24.71
2014,10,9,4.9738,7.05,84.8,99.94,3.78,28.6,25.07
2014,10,10,5.3446,1.93,86.31,99.9,4.69,28.38,25.7
2014,10,11,6.2484,0.2,85.17,99.87,4.61,28.57,25.65
2014,10,12,5.8306,0.56,85.31,99.83,5.0,28.83,25.61
2014,10,13,5.1574,5.73,86.39,99.83,4.33,28.81,25.85
2014,10,14,6.0053,17.72,87.56,99.92,3.4,28.32,26.28
2014,10,15,6.2352,5.79,83.77,100.03,2.68,29.39,25.7
2014,10,16,5.1413,17.42,84.36,100.04,2.07,28.32,25.19
2014,10,17,4.0867,38.23,84.65,100.1,1.74,27.21,24.57
2014,10,18,3.649,57.77,90.76,100.02,3.5,25.91,24.33
2014,10,19,4.399,37.79,83.79,99.99,1.33,27.57,24.51
2014,10,20,5.6926,11.92,85.72,100.0,2.27,27.09,24.56
2014,10,21,2.2963,27.7,89.12,100.12,2.56,26.71,25.0
2014,10,22,4.1146,32.05,86.53,100.19,2.19,26.95,24.35
2014,10,23,3.4589,13.48,84.28,100.15,2.2,28.77,24.63
2014,10,24,6.0622,2.89,82.47,100.09,2.0,28.35,25.07
2014,10,25,4.7246,3.06,83.18,100.1,2.61,28.77,25.25
2014,10,26,5.677,3.58,78.82,100.2,1.66,28.59,25.32
2014,10,27,5.4749,2.83,77.9,100.16,1.34,29.72,26.15
2014,10,28,6.0833,1.95,82.98,100.06,2.11,29.55,25.86
2014,10,29,5.4266,5.82,91.41,100.07,3.85,26.52,24.97
2014,10,30,4.0692,3.07,88.66,100.05,2.65,26.46,24.5
2014,10,31,4.4462,8.39,87.12,100.04,2.38,27.19,24.31
2014,11,1,5.2102,2.98,85.29,100.07,2.16,27.48,24.53
2014,11,2,3.8198,2.66,77.81,100.13,1.9,27.83,24.54
2014,11,3,2.97,7.85,77.96,100.15,1.49,28.39,25.49
2014,11,4,3.9367,1.95,83.79,100.25,2.48,25.76,24.58
2014,11,5,5.0162,0.24,81.58,100.25,3.4,28.25,25.05
2014,11,6,4.843,0.15,82.9,100.12,3.36,29.08,25.25
2014,11,7,5.742,0.05,78.05,100.06,1.81,29.92,25.38
2014,11,8,5.3803,0.0,80.06,100.13,2.44,28.79,25.54
2014,11,9,5.6431,0.0,76.97,100.16,2.69,29.05,25.16
2014,11,10,4.8058,0.15,83.45,100.05,3.37,28.44,24.94
2014,11,11,4.9351,1.19,79.68,99.99,1.54,29.42,25.05
2014,11,12,5.6045,6.19,80.05,99.89,1.57,29.23,25.14
2014,11,13,5.0321,13.72,83.48,99.95,2.34,28.5,25.16
2014,11,14,4.9817,16.61,88.04,100.08,3.02,28.67,25.43
2014,11,15,5.7238,4.49,85.2,100.05,3.6,29.35,25.1
2014,11,16,6.0725,9.57,85.61,99.99,4.05,29.1,24.2
2014,11,17,5.839,2.96,85.76,99.99,5.03,29.17,24.03
2014,11,18,4.5955,1.93,85.32,100.06,5.21,29.02,23.67
2014,11,19,4.6282,1.54,86.81,100.06,5.56,28.45,25.1
2014,11,20,4.9939,9.04,86.41,100.01,4.7,28.34,24.16
2014,11,21,1.5898,14.92,89.39,100.02,5.58,26.34,23.85
2014,11,22,2.0527,6.35,87.62,100.01,4.39,27.94,24.3
2014,11,23,3.0782,1.82,87.59,99.97,4.55,27.52,24.38
2014,11,24,3.6161,0.23,84.84,99.95,3.9,28.74,23.73
2014,11,25,2.8282,0.02,81.8,99.99,4.61,26.87,23.14
2014,11,26,3.3943,0.49,82.43,99.81,3.97,27.01,22.77
2014,11,27,3.0305,10.89,86.66,99.88,3.32,25.74,23.23
2014,11,28,2.5646,7.71,87.03,99.99,2.31,26.58,23.86
2014,11,29,3.3218,2.1,76.36,100.04,2.06,27.36,23.7
2014,11,30,3.8575,0.82,80.84,99.96,1.8,26.63,22.07
2014,12,1,3.0221,2.2,86.21,99.89,4.12,27.61,22.98
2014,12,2,4.489,1.09,86.62,100.03,3.89,26.8,23.72
2014,12,3,5.4977,0.0,80.69,100.1,3.5,28.76,23.35
2014,12,4,5.2961,0.0,80.01,100.18,3.73,28.66,22.66
2014,12,5,5.2862,0.0,81.61,100.18,4.68,27.32,20.97
2014,12,6,5.8368,0.0,81.94,100.13,4.32,28.24,21.55
2014,12,7,5.5574,0.01,83.71,100.07,3.47,28.77,22.97
2014,12,8,5.0794,6.98,84.37,100.1,3.54,29.17,24.37
2014,12,9,5.3657,5.43,84.49,100.16,3.6,28.58,24.18
2014,12,10,2.6122,30.16,87.58,100.13,3.58,27.55,24.27
2014,12,11,2.1324,16.73,86.64,100.13,4.15,27.17,23.91
2014,12,12,4.1285,3.04,83.62,100.15,3.89,28.47,23.77
2014,12,13,5.0762,1.0,85.51,100.17,4.26,28.15,24.07
2014,12,14,5.25,3.45,85.34,100.16,3.87,28.79,23.82
2014,12,15,5.591,0.44,82.1,100.13,3.48,29.11,23.51
2014,12,16,5.4199,0.52,84.95,100.07,3.52,29.01,23.55
2014,12,17,3.2863,1.01,87.14,100.01,5.36,28.53,24.62
2014,12,18,4.5691,1.71,87.17,100.06,6.04,27.8,24.17
2014,12,19,2.6518,4.2,86.35,100.18,5.46,28.23,24.37
2014,12,20,2.5469,0.34,85.85,100.17,5.58,27.05,23.27
2014,12,21,5.5572,0.05,80.56,100.03,3.89,28.54,22.58
2014,12,22,4.9615,0.0,81.56,100.01,3.95,28.61,22.9
2014,12,23,5.0832,0.1,80.69,100.06,3.36,28.84,23.18
2014,12,24,3.6139,2.68,82.99,100.17,3.8,29.3,23.88
2014,12,25,3.8172,0.11,82.54,100.21,3.48,28.07,23.32
2014,12,26,3.4426,0.07,77.89,100.09,3.48,25.78,23.36
2014,12,27,3.2038,0.01,75.73,100.03,3.64,27.17,22.05
2014,12,28,4.1275,4.27,77.05,100.06,2.74,28.44,22.58
